"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.stimuli","Answer.answer","Approve","Reject"
"38LRF35D5KVXX1KLN5EGT9U5WROU31","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:29 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:29 PST 2015","","","30BXRYBRP4WR6XEJNSNL4BCTQ5QWHZ","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:15:09 PST 2015","Wed Dec 16 20:15:20 PST 2015","Thu Dec 17 04:15:20 PST 2015","","","","11","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/17_Parallel.png","C"
"37M4O367VIHHY82GSMBNHWBVX1D5MB","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:29 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:29 PST 2015","","","34BBWHLWHAAR2SP3TA564ND8QI6IWF","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:19:26 PST 2015","Wed Dec 16 20:19:38 PST 2015","Thu Dec 17 04:19:38 PST 2015","","","","12","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/9_Parallel.png","equal"
"3MJ28H2Y1D75YBNS52Q09000S1S5OQ","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:29 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:29 PST 2015","","","3IUZPWIU1O6I8NFRTDQIH3SLIMUWK3","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:17:24 PST 2015","Wed Dec 16 20:17:30 PST 2015","Thu Dec 17 04:17:30 PST 2015","","","","6","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/22_Cartesian.png","C"
"31J7RYECZKPY48JCRN8WETJPLGI1LN","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:29 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:29 PST 2015","","","3XIQGXAUMC7928DXKOXVFH16L417X2","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:11:10 PST 2015","Wed Dec 16 20:11:17 PST 2015","Thu Dec 17 04:11:17 PST 2015","","","","7","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/8_Cartesian.png","C"
"3ZQA3IO31AQ6ATM94FOO6ANJGLN1O4","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:29 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:29 PST 2015","","","34BBWHLWHAAR2SP3TA564ND8QI5WIS","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:16:28 PST 2015","Wed Dec 16 20:16:46 PST 2015","Thu Dec 17 04:16:46 PST 2015","","","","18","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/48_Cartesian.png","C"
"3N7PQ0KLI4OG85NZX5ZBPR82A3V3EU","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:29 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:29 PST 2015","","","3M1CVSFP6047CDAJ5DENV073P9KAQZ","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:16:51 PST 2015","Wed Dec 16 20:17:10 PST 2015","Thu Dec 17 04:17:10 PST 2015","","","","19","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/44_Cartesian.png","B"
"32CXT5U14F2JYYQRZM9CKQ2GCDGU8T","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:29 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:29 PST 2015","","","3L70J4KAZGLDN46E0R83V1046UVDAX","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:15:56 PST 2015","Wed Dec 16 20:16:06 PST 2015","Thu Dec 17 04:16:06 PST 2015","","","","10","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/2_Cartesian.png","equal"
"3538U0YQ1ET8EJNVSGJH79T2M4A3FC","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:30 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:30 PST 2015","","","33LKR6A5KEJOA5PBQYFPP4PN5MD1TG","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:11:57 PST 2015","Wed Dec 16 20:12:23 PST 2015","Thu Dec 17 04:12:23 PST 2015","","","","26","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/46_Cartesian.png","C"
"3VJ4PFXFJ26XHMJ6WKTQGH8B21GUAX","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:30 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:30 PST 2015","","","3MYYFCXHJ361XZ0OTGZKOJH1RCFG4Z","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:18:18 PST 2015","Wed Dec 16 20:18:28 PST 2015","Thu Dec 17 04:18:28 PST 2015","","","","10","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/63_Parallel.png","B"
"31MCUE39BJLESJJQ30PZPUTENJA3GB","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 20:08:30 PST 2015","20","BatchId:118037;","3600","28800","Wed Dec 23 20:08:30 PST 2015","","","3LOTDFNYA7Y7S1NDS2ZL1Q0GAQDWF1","A3JEXA6ME8GTMO","Submitted","Wed Dec 16 20:12:28 PST 2015","Wed Dec 16 20:12:44 PST 2015","Thu Dec 17 04:12:44 PST 2015","","","","16","100% (222/222)","100% (66/66)","100% (66/66)","http://parallelcoordinates.de/mturk/34_Cartesian.png","C"
