"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.stimuli","Answer.answer","Approve","Reject"
"3XD2A6FGFMT3XQHXF9KQ5LF3BMV9SZ","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","3G0WWMR1UVJEWW48EHJSH6R3OGUNQ7","A1ZN25CCYIMTR9","Submitted","Thu Dec 17 16:02:34 PST 2015","Thu Dec 17 16:02:54 PST 2015","Fri Dec 18 00:02:54 PST 2015","","","","20","0% (0/0)","0% (0/0)","0% (0/0)","http://parallelcoordinates.de/mturk/31_Parallel.png","B"
"3XD2A6FGFMT3XQHXF9KQ5LF3BMV9SZ","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","3I33IC7ZWF1QKU8Y32OMZI909362AD","A3JEXA6ME8GTMO","Approved","Wed Dec 16 19:39:24 PST 2015","Wed Dec 16 19:40:12 PST 2015","Thu Dec 17 03:40:12 PST 2015","Wed Dec 16 20:07:29 PST 2015","","","48","100% (248/248)","100% (92/92)","100% (92/92)","http://parallelcoordinates.de/mturk/31_Parallel.png","C"
"3XD2A6FGFMT3XQHXF9KQ5LF3BMV9SZ","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","3S06PH7KSR3HTGTE48FAK071202D1M","A36ZSAYHB8ROLB","Submitted","Thu Dec 17 19:23:27 PST 2015","Thu Dec 17 19:26:20 PST 2015","Fri Dec 18 03:26:20 PST 2015","","","","173","0% (0/0)","0% (0/0)","0% (0/0)","http://parallelcoordinates.de/mturk/31_Parallel.png","C"
"3XD2A6FGFMT3XQHXF9KQ5LF3BMV9SZ","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","3TU5ZICBRD0TTPH48FU9Z918ZLXQ8O","A34J12A7R98SVB","Submitted","Thu Dec 17 19:39:58 PST 2015","Thu Dec 17 19:40:14 PST 2015","Fri Dec 18 03:40:14 PST 2015","","","","16","0% (0/0)","0% (0/0)","0% (0/0)","http://parallelcoordinates.de/mturk/31_Parallel.png","B"
"37VHPF5VYB2NC49RDVOCQKGA5DRC8J","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","34S9DKFK73ON5YVU5R0MUSU5NPDNYC","A34J12A7R98SVB","Submitted","Thu Dec 17 19:39:38 PST 2015","Thu Dec 17 19:39:57 PST 2015","Fri Dec 18 03:39:57 PST 2015","","","","19","0% (0/0)","0% (0/0)","0% (0/0)","http://parallelcoordinates.de/mturk/17_Parallel.png","C"
"37VHPF5VYB2NC49RDVOCQKGA5DRC8J","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","3E1QT0TDFP8GCRTLV7P0Q7AM8BEI8B","A1ZN25CCYIMTR9","Submitted","Thu Dec 17 16:05:47 PST 2015","Thu Dec 17 16:05:58 PST 2015","Fri Dec 18 00:05:58 PST 2015","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","http://parallelcoordinates.de/mturk/17_Parallel.png","equal"
"37VHPF5VYB2NC49RDVOCQKGA5DRC8J","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","3MYYFCXHJ361XZ0OTGZKOJH1RCSG4C","A36ZSAYHB8ROLB","Submitted","Thu Dec 17 19:36:40 PST 2015","Thu Dec 17 19:36:49 PST 2015","Fri Dec 18 03:36:49 PST 2015","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","http://parallelcoordinates.de/mturk/17_Parallel.png","C"
"37VHPF5VYB2NC49RDVOCQKGA5DRC8J","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","3YOH7BII0965TYFM33LMV197BDSVKS","A3JEXA6ME8GTMO","Approved","Wed Dec 16 20:01:32 PST 2015","Wed Dec 16 20:01:41 PST 2015","Thu Dec 17 04:01:41 PST 2015","Wed Dec 16 20:07:24 PST 2015","","","9","100% (248/248)","100% (92/92)","100% (92/92)","http://parallelcoordinates.de/mturk/17_Parallel.png","C"
"3RQVKZ7ZRJI6E8C66X7007BTI2872I","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","33F859I566CZIUG8S1RPHXZ8G4KBHA","A1ZN25CCYIMTR9","Submitted","Thu Dec 17 16:06:54 PST 2015","Thu Dec 17 16:07:15 PST 2015","Fri Dec 18 00:07:15 PST 2015","","","","21","0% (0/0)","0% (0/0)","0% (0/0)","http://parallelcoordinates.de/mturk/11_Parallel.png","equal"
"3RQVKZ7ZRJI6E8C66X7007BTI2872I","3F3JD5CN1MXG1FONYBVETC00FLK0HD","Choose one of three points","Given 3 points A,B,C choose if B or C is closer to A","keywords","$0.05","Wed Dec 16 19:32:41 PST 2015","20","BatchId:118036;","3600","28800","Wed Dec 23 19:32:41 PST 2015","","","36PW28KO4ZVIFAKEWMJN1JIP669EA4","A34J12A7R98SVB","Submitted","Thu Dec 17 19:35:56 PST 2015","Thu Dec 17 19:36:05 PST 2015","Fri Dec 18 03:36:05 PST 2015","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","http://parallelcoordinates.de/mturk/11_Parallel.png","C"
